------------ Data File Created By ActiGraph wGT3XBT ActiLife v6.13.3 Firmware v1.9.2 date format M/d/yyyy Filter Normal Multiple Incline Limb: Undefined -----------
Serial Number: MOS2D25160242
Start Time 10:20:00
Start Date 7/30/2018
Epoch Period (hh:mm:ss) 00:00:01
Download Time 12:06:18
Download Date 8/1/2018
Current Memory Address: 0
Current Battery Voltage: 4.18     Mode = 61
--------------------------------------------------
Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying
0,0,0,0,0,0,0,1,0
0,12,8,0,0,0,0,1,0
18,72,15,0,0,0,1,0,0
241,255,38,0,0,0,1,0,0
392,114,46,1,0,0,1,0,0
47,42,22,0,0,0,1,0,0
55,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
3,12,2,0,0,0,0,1,0
27,9,14,1,0,0,1,0,0
2,36,29,1,0,0,0,1,0
32,29,28,1,0,0,1,0,0
19,12,47,1,0,0,1,0,0
78,79,99,1,0,0,1,0,0
10,72,21,0,0,0,1,0,0
3,56,70,1,0,0,0,1,0
38,50,52,1,0,0,1,0,0
15,45,2,0,0,0,1,0,0
44,27,19,1,0,0,1,0,0
11,38,29,0,0,0,1,0,0
13,27,35,1,0,0,1,0,0
34,7,93,1,0,0,1,0,0
18,51,65,1,0,0,1,0,0
9,63,43,0,0,0,1,0,0
12,31,37,1,0,0,1,0,0
2,95,80,1,0,0,0,1,0
21,43,67,0,0,0,1,0,0
27,62,89,1,0,0,1,0,0
31,45,68,0,0,0,1,0,0
38,43,68,1,0,0,1,0,0
51,84,60,0,0,0,1,0,0
44,23,30,1,0,0,1,0,0
12,11,46,1,0,0,1,0,0
31,73,18,1,0,0,1,0,0
16,25,10,2,0,0,1,0,0
40,19,11,0,0,0,1,0,0
16,52,25,1,0,0,1,0,0
18,30,45,0,0,0,1,0,0
42,77,14,1,0,0,1,0,0
42,30,16,1,49,0,1,0,0
36,45,62,1,70,0,1,0,0
51,31,50,1,0,0,1,0,0
160,102,78,0,0,0,1,0,0
120,47,53,1,0,0,1,0,0
99,75,57,0,0,0,1,0,0
89,91,200,2,0,0,1,0,0
51,45,123,0,0,0,1,0,0
47,0,107,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0
30,33,3,1,0,0,1,0,0
10,36,0,0,0,0,1,0,0
10,0,14,0,0,0,1,0,0
5,0,7,1,0,0,1,0,0
8,15,49,0,0,0,1,0,0
63,52,68,0,0,0,1,0,0
54,70,84,1,0,0,1,0,0
178,201,155,0,0,0,1,0,0
99,192,103,1,0,0,1,0,0
198,152,55,0,0,0,1,0,0
154,101,79,0,0,0,1,0,0
116,47,60,1,0,0,1,0,0
5,19,38,0,0,0,0,1,0
145,44,61,1,0,0,1,0,0
73,47,31,1,0,0,1,0,0
59,61,32,0,0,0,1,0,0
63,35,102,1,0,0,1,0,0
27,50,69,1,0,0,1,0,0
60,34,104,1,0,0,1,0,0
13,0,9,0,0,0,1,0,0
49,53,142,1,0,0,1,0,0
126,24,59,0,0,0,1,0,0
6,3,60,1,0,0,0,0,1
61,77,182,0,0,0,1,0,0
206,64,192,1,0,0,1,0,0
212,60,95,0,0,0,1,0,0
66,66,84,1,0,0,1,0,0
61,88,31,0,0,0,1,0,0
96,121,53,1,70,0,1,0,0
110,197,184,0,0,0,1,0,0
38,82,90,1,0,0,1,0,0
84,212,180,0,0,0,1,0,0
59,216,110,1,0,0,1,0,0
116,116,192,1,0,0,1,0,0
238,334,177,1,0,0,1,0,0
211,161,121,0,0,0,1,0,0
101,148,115,0,0,0,1,0,0
298,180,54,0,0,0,1,0,0
141,139,151,1,0,0,1,0,0
212,90,104,0,0,0,1,0,0
125,78,136,1,0,0,1,0,0
55,86,97,0,0,0,1,0,0
137,120,160,0,0,0,1,0,0
50,72,93,1,0,0,1,0,0
88,56,92,1,0,0,1,0,0
198,66,94,1,0,0,1,0,0
94,101,0,0,0,0,1,0,0
39,70,55,0,0,0,1,0,0
102,79,71,0,0,0,1,0,0
79,20,60,1,0,0,1,0,0
65,10,45,0,0,0,1,0,0
39,0,0,0,0,0,1,0,0
100,6,31,0,0,0,1,0,0
132,75,148,1,0,0,1,0,0
148,104,144,0,0,0,1,0,0
210,210,106,1,0,0,1,0,0
238,253,69,0,0,0,1,0,0
70,71,151,1,0,0,1,0,0
111,102,130,1,0,0,1,0,0
107,89,59,0,0,0,1,0,0
2,7,30,0,0,0,0,1,0
37,10,92,1,0,0,1,0,0
41,26,57,0,0,0,1,0,0
40,6,71,0,0,0,1,0,0
49,46,78,1,0,0,1,0,0
97,179,52,0,0,0,1,0,0
28,90,203,0,0,0,1,0,0
0,32,58,0,0,0,0,0,1
16,165,241,1,0,0,1,0,0
43,263,129,1,0,0,1,0,0
65,116,247,1,0,0,1,0,0
129,90,46,0,0,0,1,0,0
76,14,57,0,0,0,1,0,0
138,75,41,0,0,0,1,0,0
97,36,75,1,0,0,1,0,0
22,31,43,0,0,0,1,0,0
60,0,5,0,0,0,1,0,0
30,0,45,0,0,0,1,0,0
63,77,101,1,0,0,1,0,0
11,73,40,0,0,0,1,0,0
129,186,79,0,0,0,1,0,0
94,198,42,1,0,0,1,0,0
92,51,175,0,0,0,1,0,0
31,52,77,0,0,0,1,0,0
0,0,49,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,3,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,6,0,0,0,0,1,0
0,0,12,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,30,59,0,0,0,0,1,0
47,57,41,1,0,0,1,0,0
19,40,55,1,0,0,1,0,0
0,25,18,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
42,62,78,1,0,0,1,0,0
2,7,11,0,47,0,0,0,1
0,4,56,0,0,0,0,0,1
16,38,110,0,0,0,1,0,0
15,41,91,1,0,0,1,0,0
0,0,27,0,0,0,0,1,0
0,0,6,0,0,0,0,1,0
0,0,2,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
8,14,27,0,0,0,1,0,0
79,75,112,1,0,0,1,0,0
68,175,54,1,0,0,1,0,0
